# Godzilla Pro device positions, from the game binary.
# 575 records (coil=10 led=506 switch=59), 164 on the playfield image.
# playfield image: assets/nuk/images/Test/scaled_godzilla_pro_playfield.png (313x710)
# class   name                                   x     y    w    h  grp index  conn   image
led       ETOPPER L DOME LED 1-G               310   249   40   30    3     1         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 1-B               310   249   40   30    3     0         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 2-R               310   249   40   30    3     2         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 2-G               310   249   40   30    3     4         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 2-B               310   249   40   30    3     3         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 3-R               310   249   40   30    3     5         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 3-G               310   249   40   30    3     7         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 3-B               310   249   40   30    3     6         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 4-R               310   249   40   30    3     8         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 4-G               310   249   40   30    3    10         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 4-B               310   249   40   30    3     9         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 5-R               310   249   40   30    3    11         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 5-G               310   249   40   30    3    13         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 5-B               310   249   40   30    3    12         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 6-R               310   249   40   30    3    14         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 6-G               310   249   40   30    3    16         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 6-B               310   249   40   30    3    15         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 7-R               310   249   40   30    3    17         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 7-G               310   249   40   30    3    19         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 7-B               310   249   40   30    3    18         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 8-R               310   249   40   30    3    20         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 8-G               310   249   40   30    3    22         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 8-B               310   249   40   30    3    21         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 9-R               310   249   40   30    3    23         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 9-G               310   249   40   30    3    25         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 9-B               310   249   40   30    3    24         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 10-R              310   249   40   30    3    26         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 10-G              310   249   40   30    3    28         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 10-B              310   249   40   30    3    27         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 11-R              310   249   40   30    3    29         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 11-G              310   249   40   30    3    31         System/TestMode/universal_topper_scaled
led       ETOPPER L DOME LED 11-B              310   249   40   30    3    30         System/TestMode/universal_topper_scaled
