# Godzilla Pro LED I/O map.
# Position from the device table in the binary; node/index verified
# against the boot enumeration on the wire (see ledio.py).
# node index name                                   x     y  conn  image
1      1     START BUTTON                         268   255        System/TestMode/spike_2_cabinet_front_cropped
1      2     TOURNAMENT START                     102   228        System/TestMode/spike_2_cabinet_front_cropped
1      3     LOCKDOWN BUTTON-G                    102   277        System/TestMode/spike_2_cabinet_front_cropped
1      4     LOCKDOWN BUTTON-R                    250   169        System/TestMode/spike_2_cabinet_front_cropped
1      5     LOCKDOWN BUTTON-B                    250   169        System/TestMode/spike_2_cabinet_front_cropped
1      7     LOWER PLAYFIELD GI-RED(X4)           250   169        System/TestMode/spike_2_cabinet_front_cropped
8      4     RIGHT OUTLANE                        242   472        playfield
8      5     LEFT RETURN LANE                     264   498        playfield
8      6     LEFT OUTLANE                          53   472        playfield
8      7     SAUCER                                29   498  8b    playfield
8      8     FIGHTER RIGHT 1                      225   450  8b    playfield
8      9     FIGHTER RIGHT 2                      239   549  8b    playfield
8      10    FIGHTER RIGHT 3                      227   558  8b    playfield
8      11    ADV FIGHTER RIGHT                    215   566  8b    playfield
8      12    SCOOP BB-BATTLE                      225   537  8b    playfield
8      14    SCOOP BB-GODZILLA PWR UP             254   346  8b    playfield
8      15    SCOOP BB-SUMMON ALLY                 254   346  8b    playfield
8      16    BOTTOM SAUCER-R                      254   346  8b    playfield
8      17    BOTTOM SAUCER-G                      215   436  8b    playfield
8      18    BOTTOM SAUCER-B                      215   436  8b    playfield
8      19    SELECT CITY                          215   436  8b    playfield
8      21    TANK 6                               236   380  8b    playfield
8      22    ATTACK MECHA                         227   394  8b    playfield
8      23    MECHA LANE-R                         200   381  8b    playfield
8      24    MECHA LANE-G                         282   393  8b    playfield
8      25    MECHA LANE-B                         282   393  8b    playfield
8      26    MOTHRA                               282   393  8b    playfield
8      27    TOP SAUCER-R                         199   424  8b    playfield
8      28    TOP SAUCER-G                         209   410  8b    playfield
8      29    TOP SAUCER-B                         209   410  8b    playfield
8      30    SHIELD LEFT-R                        209   410  8b    playfield
8      31    SHIELD LEFT-G                        188   308  8b    playfield
8      32    SHIELD LEFT-B                        188   308  8b    playfield
8      33    SHIELD RIGHT-R                       188   308  8b    playfield
8      34    SHIELD RIGHT-G                       223   335  8b    playfield
8      35    SHIELD RIGHT-B                       223   335  8b    playfield
8      36    SHIELD CENTER-R                      223   335  8b    playfield
8      37    SHIELD CENTER-G                      195   332  8b    playfield
8      38    SHIELD CENTER-B                      195   332  8b    playfield
8      39    RODAN                                195   332  8b    playfield
8      41    POP BUMPER-R                         178   421  8b    playfield
8      42    POP BUMPER-G                         251   413  8b    playfield
8      43    POP BUMPER-B                         251   413  8b    playfield
8      44    ANGUIRUS                             251   413  8b    playfield
8      47    MASER FIRE FLASH                     186   439  8c    playfield
8      48    FIGHTER LEFT 1                        91   438  8c    playfield
8      49    FIGHTER LEFT 2                        57   549  8c    playfield
8      50    FIGHTER LEFT 3                        69   558  8c    playfield
8      51    ADV FIGHTER LEFT                      80   566  8c    playfield
8      52    SHOOT AGAIN (X2)                      69   537  8c    playfield
8      54    TANK 1                                77   405  8c    playfield
8      55    LEFT SPINNER-R                        69   391  8c    playfield
8      56    LEFT SPINNER-G                        55   373  8c    playfield
8      57    LEFT SPINNER-B                        55   373  8c    playfield
8      58    MASER FLASH                           55   373  8c    playfield
8      59    BUILDING SPOT                         30   388  8c    playfield
8      60    MASER                                 57   382  8c    playfield
8      62    MASER READY                           51   417  8c    playfield
8      63    UPPER PLAYFIELD GI-RED(X9)            67   425        playfield
9      8     BRIDGE                               127   392  9a    playfield
9      9     POWER                                146   392  9a    playfield
9      10    RIGHT BB-BASH BUILDING               166   386  9a    playfield
9      11    RIGHT BB-LITE BATTLE                 476    39  9a    Test/scaled_godzilla_pro_backpanel
9      12    RIGHT BB-BRIDGE OUT                  476    61  9a    Test/scaled_godzilla_pro_backpanel
9      13    BACKPANEL RIGHT FLASH                476    83  9a    Test/scaled_godzilla_pro_backpanel
9      14    PARIS                                413    61  9a    Test/scaled_godzilla_pro_backpanel
9      15    TOKYO                                145   374  9a    playfield
9      16    RIGHT RAMP-R                         155   360  9a    playfield
9      17    RIGHT RAMP-G                         199   189  9a    playfield
9      18    RIGHT RAMP-B                         199   189  9a    playfield
9      19    TANK 5                               199   189  9a    playfield
9      20    POWERLINE RIGHT                      192   205  9a    playfield
9      21    HEAT RAY L1                          212   204  9a    playfield
9      22    HEAT RAY L2                          169   184  9a    playfield
9      23    HEAT RAY L3                          172   172  9a    playfield
9      24    HEAT RAY                             176   159  9a    playfield
9      25    PLANET X                             180   144  9a    playfield
9      26    MECHA WIZ                            137   353  9a    playfield
9      27    KING OF THE MONSTERS WIZ             160   328  9a    playfield
9      28    MONSTER ZERO WIZ                     137   331  9a    playfield
9      29    NY                                   114   328  9a    playfield
9      30    BIG LOOP-R                           118   360  9a    playfield
9      31    BIG LOOP-G                           195   251  9a    playfield
9      32    BIG LOOP-B                           195   251  9a    playfield
9      33    DESTRUCTION JACKPOT                  195   251  9a    playfield
9      34    TAIL WHIP                            170   273  9a    playfield
9      35    GLOBE FLASH                          176   297  9a    playfield
9      36    LONDON                               287   206  9a    playfield
9      38    TANKS                                128   374  9a    playfield
